"","Date","location","count","status","year","month","day","julian"
"349",2015-06-30,"PetrieEast",12.4573094,"Swim","2015",6,30,181
"350",2015-06-30,"PetrieRiver",64.33301463,"Swim","2015",6,30,181
"351",2015-07-01,"Britannia",10,"Rain","2015",7,1,182
"352",2015-07-01,"Westboro",12.4573094,"Rain","2015",7,1,182
"353",2015-07-01,"Mooneys",125.7543524,"Rain","2015",7,1,182
"354",2015-07-01,"PetrieEast",38.98059841,"Rain","2015",7,1,182
"355",2015-07-01,"PetrieRiver",53.86846609,"Rain","2015",7,1,182
"356",2015-07-02,"Britannia",69.42503429,"Swim","2015",7,2,183
"357",2015-07-02,"Westboro",50.73034963,"Swim","2015",7,2,183
"358",2015-07-02,"Mooneys",1000,"NoSwim","2015",7,2,183
"359",2015-07-02,"PetrieEast",11.48698355,"Swim","2015",7,2,183
"360",2015-07-02,"PetrieRiver",130.6918759,"Swim","2015",7,2,183
"361",2015-07-03,"Britannia",36.2967809,"Swim","2015",7,3,184
"362",2015-07-03,"Westboro",35.87214026,"Swim","2015",7,3,184
"363",2015-07-03,"Mooneys",82.31867283,"Swim","2015",7,3,184
"364",2015-07-03,"PetrieEast",53.78268785,"Swim","2015",7,3,184
"365",2015-07-03,"PetrieRiver",273.2013995,"NoSwim","2015",7,3,184
"366",2015-07-04,"Britannia",10,"Swim","2015",7,4,185
"367",2015-07-04,"Westboro",51.14622783,"Swim","2015",7,4,185
"368",2015-07-04,"Mooneys",43.646662,"Swim","2015",7,4,185
"369",2015-07-04,"PetrieEast",40.95345022,"Swim","2015",7,4,185
"370",2015-07-04,"PetrieRiver",42.58195603,"Swim","2015",7,4,185
"371",2015-07-05,"Britannia",18.20564203,"Swim","2015",7,5,186
"372",2015-07-05,"Westboro",27.01920077,"Swim","2015",7,5,186
"373",2015-07-05,"Mooneys",10,"Swim","2015",7,5,186
"374",2015-07-05,"PetrieEast",22.67933155,"Swim","2015",7,5,186
"375",2015-07-05,"PetrieRiver",29.13693459,"Swim","2015",7,5,186
"376",2015-07-06,"Britannia",12.4573094,"Swim","2015",7,6,187
"377",2015-07-06,"Westboro",31.03691148,"Swim","2015",7,6,187
"378",2015-07-06,"Mooneys",196.8631318,"Swim","2015",7,6,187
"379",2015-07-06,"PetrieEast",10,"Swim","2015",7,6,187
"380",2015-07-06,"PetrieRiver",20.27844745,"Swim","2015",7,6,187
"381",2015-07-07,"Britannia",12.4573094,"Swim","2015",7,7,188
"382",2015-07-07,"Westboro",25.50849001,"Swim","2015",7,7,188
"383",2015-07-07,"Mooneys",27.86518023,"Swim","2015",7,7,188
"384",2015-07-07,"PetrieEast",22.36853829,"Swim","2015",7,7,188
"385",2015-07-07,"PetrieRiver",31.03691148,"Swim","2015",7,7,188
"386",2015-07-08,"Britannia",312.8168773,"NoSwim","2015",7,8,189
"387",2015-07-08,"Westboro",11.48698355,"Swim","2015",7,8,189
"388",2015-07-08,"Mooneys",11.48698355,"Swim","2015",7,8,189
"389",2015-07-08,"PetrieEast",12.4573094,"Swim","2015",7,8,189
"390",2015-07-08,"PetrieRiver",34.07078325,"Swim","2015",7,8,189
"391",2015-07-09,"Britannia",131.397251,"NoSwim","2015",7,9,190
"392",2015-07-09,"Westboro",22.67933155,"Swim","2015",7,9,190
"393",2015-07-09,"Mooneys",83.05454191,"Swim","2015",7,9,190
"394",2015-07-09,"PetrieEast",72.5935618,"Swim","2015",7,9,190
"395",2015-07-09,"PetrieRiver",71.90000615,"Swim","2015",7,9,190
"396",2015-07-10,"Britannia",23.52158045,"Swim","2015",7,10,191
"397",2015-07-10,"Westboro",33.14454017,"Swim","2015",7,10,191
"398",2015-07-10,"Mooneys",17.41101127,"Swim","2015",7,10,191
"399",2015-07-10,"PetrieEast",27.24069927,"Swim","2015",7,10,191
"400",2015-07-10,"PetrieRiver",36.590467,"Swim","2015",7,10,191
"401",2015-07-11,"Britannia",24.91461879,"Swim","2015",7,11,192
